First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
,,,,TX,,5303 MOUNTAIN VISTA DR,San Antonio,TX,78247,Notice of Foreclosure / Mortgage,NOFC,,26426,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,2851 LAVENDER MEADOW,San Antonio,TX,78222,Notice of Foreclosure / Mortgage,NOFC,,26427,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9742 GREEN MESA,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26428,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,15903 HEIMER RD,San Antonio,TX,78232,Notice of Foreclosure / Mortgage,NOFC,,26429,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5650 RIDGE RUN STREET,San Antonio,TX,78250,Notice of Foreclosure / Mortgage,NOFC,,26430,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4341 SOUTHTON BED,San Antonio,TX,78223,Notice of Foreclosure / Mortgage,NOFC,,26431,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,8719 HIDEOUT BEND,San Antonio,TX,78254,Notice of Foreclosure / Mortgage,NOFC,,26432,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12331 LA BARCA STREET,San Antonio,TX,78233,Notice of Foreclosure / Mortgage,NOFC,,26433,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5907 HIDDEN GLADE,San Antonio,TX,78250,Notice of Foreclosure / Mortgage,NOFC,,26434,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9022 BOWEN BR,San Antonio,TX,78254,Notice of Foreclosure / Mortgage,NOFC,,26435,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5126 GALAHAD DR,San Antonio,TX,78218,Notice of Foreclosure / Mortgage,NOFC,,26436,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,127 DEAN ST,San Antonio,TX,78212,Notice of Foreclosure / Mortgage,NOFC,,26437,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,22453 RED SAND DR,San Antonio,TX,78264,Notice of Foreclosure / Mortgage,NOFC,,26438,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,12249 CASHTON,San Antonio,TX,78252,Notice of Foreclosure / Mortgage,NOFC,,26439,0.0,45,Pre-foreclosure,Bexar County GIS,
,,NULL 2165 W GRAMERCY PL,SAN ANTONIO,TX,78201,2165 W GRAMERCY PL,San Antonio,TX,,Notice of Foreclosure / Mortgage,NOFC,,26440,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,3123 GOOSECREEK ST,San Antonio,TX,78211,Notice of Foreclosure / Mortgage,NOFC,,26441,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,1907 RIVER OAK LN,San Antonio,TX,78232,Notice of Foreclosure / Mortgage,NOFC,,26442,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,24715 FARADAY,San Antonio,TX,78257,Notice of Foreclosure / Mortgage,NOFC,,26443,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10139 PEARL CREEK,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26444,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,11713 TROUBADOUR TRAIL,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26445,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,15619 ASHTON WOOD,San Antonio,TX,78248,Notice of Foreclosure / Mortgage,NOFC,,26446,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,500 BARRETT,San Antonio,TX,78225,Notice of Foreclosure / Mortgage,NOFC,,26447,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10059 AMBER FIELD DR,San Antonio,TX,78245,Notice of Foreclosure / Mortgage,NOFC,,26448,0.0,45,Pre-foreclosure,Bexar County GIS,
